14721,1,Texels,Wit,5,4.3,Belgian White,Netherlands,Netherlands,Amsterdam,2010-07-01 00:00:00,I think I had this again when I was in London with Bjorn - I guess I'll just go with this for right now,2015-04-19 23:15:54.503509,2015-04-19 23:15:54.503517,nl
14722,1,Vedett,Extra Blond,5,3.4,Pale Lager,Netherlands,Netherlands,Amsterdam,2010-07-01 00:00:00,Rating change 3/2013 from 8.8,2015-04-19 23:15:54.503904,2015-04-19 23:15:54.503907,nl
14723,1,Kronenbourg,Sélection des Brasseurs,5,3.7,Pale Lager,France,France,Strasbourg,2010-08-01 00:00:00,"",2015-04-19 23:15:54.504106,2015-04-19 23:15:54.504109,fr
14724,1,Blue Moon,Summer Honey Wheat,5.2,3.5,Wheat Ale,USA,USA,Ithaca,2010-08-01 00:00:00,"",2015-04-19 23:15:54.504287,2015-04-19 23:15:54.504289,us
14725,1,Erdinger,Weissbier,5.3,4.1,Hefeweizen,Germany,France,Strasbourg,2010-08-01 00:00:00,"",2015-04-19 23:15:54.50446,2015-04-19 23:15:54.504461,de
14726,1,Timmermans,Cherise (Kriek),4.5,3,Lambic,Belgium,France,Strasbourg,2010-08-01 00:00:00,"",2015-04-19 23:15:54.504579,2015-04-19 23:15:54.50458,be
14727,1,Efes,Draft,5,3.9,Pale Lager,Turkey,Kazakhstan,Almaty,2010-08-01 00:00:00,"",2015-04-19 23:15:54.504695,2015-04-19 23:15:54.504697,tr
14728,1,Carlsberg,Bottle,3.8,3.9,Pale Lager,Denmark,France,Strasbourg,2010-08-01 00:00:00,"",2015-04-19 23:15:54.504811,2015-04-19 23:15:54.504812,dk
14729,1,Kronenbourg,Wel Scotch,6.2,3.8,Smoked,France,France,Strasbourg,2010-08-01 00:00:00,"",2015-04-19 23:15:54.504929,2015-04-19 23:15:54.50493,fr
14730,1,Delirium,Noël,10,1.3,Belgian Strong Ale,Belgium,France,Strasbourg,2010-08-01 00:00:00,"Original tasting was 7.9, but in 2/2012 switch to 5.4.  May be was a bad bottle, but everyone in the room agreed.",2015-04-19 23:15:54.505043,2015-04-19 23:15:54.505044,be
